task,n_seeds,validity_mean,uniqueness_mean,quality_mean,diversity_mean,distance_mean,mean_qed_mean,mean_sa_mean,validity_std,uniqueness_std,quality_std,diversity_std,distance_std,mean_qed_std,mean_sa_std
linker_design,3,0.9376666666666665,0.636538424732619,0.23466666666666666,0.4549811612387473,0.5050353465220451,0.5747608014133517,3.5037250859931928,0.0037859388972001956,0.003596405146192523,0.013613718571108106,0.00233450267006562,0.0014062593884263568,0.0037454992477182125,0.009112644968934868
motif_extension,3,0.9973333333333333,0.9476632996632995,0.39433333333333337,0.5884203301711642,0.6553276792450248,0.545234992306576,3.1800176254293877,0.002081665999466228,0.009708202318621805,0.019731531449264983,0.0015198957109942373,0.0004604143584045732,0.007199320852401475,0.011680868559143758
scaffold_decoration,3,0.8186666666666667,0.795677042818102,0.3646666666666667,0.46541683208137846,0.5552115593545769,0.666600183555722,3.567983035293455,0.011503622617824982,0.015189490153314418,0.003511884584284205,0.005003335859652634,0.0020484045606256754,0.005320768276044025,0.00695320628295283
scaffold_morphing,3,0.9376666666666665,0.636538424732619,0.23466666666666666,0.4549811612387473,0.5050353465220451,0.5747608014133517,3.5037250859931928,0.0037859388972001956,0.003596405146192523,0.013613718571108106,0.00233450267006562,0.0014062593884263568,0.0037454992477182125,0.009112644968934868
superstructure_generation,3,1.0,0.7813333333333334,0.4143333333333334,0.5645821856714712,0.7217566206983183,0.6370384339788616,3.2216997906783313,0.0,0.001527525231651936,0.003055050463303878,0.0022325398220845003,0.001990705873333068,0.0038118727155947887,0.008258065833436495
