condition,fsm,rdkit,Validity_mean,Validity_std,UniquenessTotal_mean,UniquenessTotal_std,Quality_mean,Quality_std,Diversity_mean,Diversity_std,quality_diversity_product_mean,quality_diversity_product_std,elapsed_seconds_mean,elapsed_seconds_std,fsm_checked_rows_mean,fsm_checked_rows_std,rdkit_checked_rows_mean,rdkit_checked_rows_std,online_repair_events_mean,online_repair_events_std,online_repair_rows_mean,online_repair_rows_std,online_remasked_tokens_mean,online_remasked_tokens_std,final_neural_repair_rows_mean,final_neural_repair_rows_std,final_neural_repair_rounds_mean,final_neural_repair_rounds_std,final_neural_recovered_rows_mean,final_neural_recovered_rows_std,hard_projection_rows_mean,hard_projection_rows_std,final_invalid_rows_mean,final_invalid_rows_std
fsm_only,True,False,0.9153333333333333,0.006506407098647744,0.8576666666666667,0.010969655114602912,0.7586666666666666,0.008962886439832517,0.8142427811636054,0.001952927882261701,0.6177358186127876,0.007052720161272989,729.3333333333334,143.81005991700766,3939.0,216.00694433281538,0.0,0.0,26.333333333333332,4.509249752822894,35.333333333333336,2.5166114784235822,219.0,31.096623610932426,13.333333333333334,4.041451884327381,76.33333333333333,17.8978583448784,1.6666666666666667,0.5773502691896257,9.0,2.6457513110645907,2.6666666666666665,1.5275252316519468
full,True,True,0.9873333333333333,0.0011547005383792605,0.9096666666666667,0.005507570547286093,0.7943333333333333,0.004041451884327386,0.8165084320867079,0.0004291346410937516,0.6485793459918603,0.0031611627036244403,643.3333333333334,117.1082120661627,3613.3333333333335,16.563010998406405,1223.0,19.697715603592208,40.666666666666664,1.154700538379251,125.0,9.16515138991168,3169.3333333333335,343.3618111166897,45.0,6.557438524302,90.66666666666667,4.725815626252606,30.0,5.291502622129181,9.666666666666666,1.5275252316519465,12.666666666666666,1.1547005383792515
none,False,False,0.892,0.006082762530298194,0.8346666666666667,0.009712534856222334,0.7533333333333333,0.010785793124909019,0.812151513361047,0.0014647964682213404,0.6118141570009333,0.008111614205107334,582.0,75.62407024221852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rdkit_only,False,True,0.9813333333333333,0.003055050463303881,0.8963333333333333,0.0119303534454489,0.7743333333333333,0.004725815626252572,0.8152659178866332,0.0018904886883113641,0.6312880032042575,0.004216783742876433,763.0,167.16159846089053,0.0,0.0,1235.0,33.15116890850155,27.0,0.0,121.33333333333333,5.131601439446882,3501.6666666666665,207.688067383115,53.0,3.4641016151377544,92.33333333333333,3.5118845842842448,34.333333333333336,5.033222956847167,0.0,0.0,18.666666666666668,3.055050463303893
